iter	Passed	Remaining
0	69	172571
1	127	159524
2	193	161416
3	279	174199
4	343	171448
5	409	170260
6	491	174958
7	555	172970
8	635	175910
9	723	180089
10	788	178345
11	851	176614
12	946	181038
13	1009	179276
14	1073	177804
15	1164	180805
16	1234	180373
17	1303	179711
18	1411	184333
19	1513	187661
20	1592	187980
21	1692	190654
22	1998	215228
23	2272	234423
24	2683	265694
25	3012	286635
26	3302	302482
27	3590	316950
28	3947	336387
29	4401	362418
30	4977	396433
31	5367	414000
32	6111	456897
33	6954	504416
34	7233	509479
35	7688	526257
36	8081	537938
37	8487	549887
38	8891	561101
39	9396	577907
40	9788	587047
41	10090	590522
42	10296	588360
43	10592	591227
44	10714	584553
45	10842	578418
46	10923	570094
47	11002	562044
48	11112	555840
49	11185	548092
50	11258	540648
51	11350	534358
52	11418	527210
53	11488	520380
54	11589	515190
55	11662	508970
56	11734	502944
57	11833	498249
58	11903	492485
59	11971	486847
60	12073	482727
61	12144	477539
62	12214	472493
63	12305	468379
64	12379	463737
65	12461	459583
66	12567	456370
67	12643	452193
68	12720	448176
69	12809	444656
70	12873	440407
71	12937	436271
72	13026	433081
73	13094	429291
74	13159	425484
75	13263	423038
76	13329	419444
77	13396	415973
78	13494	413540
79	13560	410213
80	13627	406975
81	13715	404434
82	13779	401270
83	13842	398134
84	13928	395742
85	13991	392746
86	14055	389829
87	14142	387628
88	14208	384916
89	14274	382246
90	14364	380258
91	14430	377691
92	14491	375070
93	14577	373112
94	14640	370640
95	14704	368221
96	14792	366449
97	14855	364113
98	14919	361831
99	15006	360145
100	15074	358054
101	15137	355868
102	15231	354465
103	15298	352456
104	15365	350474
105	15453	349025
106	15523	347177
107	15604	345607
108	15706	344532
109	15782	342909
110	15857	341294
111	15961	340314
112	16049	339037
113	16125	337513
114	16218	336355
115	16284	334678
116	16349	332990
117	16449	332055
118	16517	330493
119	16580	328854
120	16670	327755
121	17112	333555
122	17224	332872
123	17357	332591
124	17428	331135
125	17495	329637
126	17586	328598
127	17670	327464
128	17738	326039
129	17830	325055
130	17892	323571
131	17956	322122
132	18046	321174
133	18108	319743
134	18173	318364
135	18265	317495
136	18344	316411
137	18409	315097
138	18503	314289
139	18570	313048
140	18633	311742
141	18738	311158
142	18801	309895
143	18863	308628
144	18951	307803
145	19017	306621
146	19080	305422
147	19173	304701
148	19240	303589
149	19306	302462
150	19401	301822
151	19470	300767
152	19533	299645
153	19620	298897
154	19686	297832
155	19749	296752
156	19837	296046
157	19901	294998
158	19965	293952
159	20051	293253
160	20115	292231
161	20183	291285
162	20280	290775
163	20348	289844
164	20415	288906
165	20504	288304
166	20567	287330
167	20630	286374
168	20724	285854
169	20787	284915
170	20853	284017
171	20941	283436
172	21005	282541
173	21069	281652
174	21163	281168
175	21230	280339
176	21296	279506
177	21385	278969
178	21451	278146
179	21517	277335
180	21606	276825
181	21669	275989
182	21740	275265
183	21829	274769
184	21892	273958
185	21955	273144
186	22043	272653
187	22110	271907
188	22175	271154
189	22268	270743
190	22335	270019
191	22400	269271
192	22495	268893
193	22557	268133
194	22621	267395
195	22708	266944
196	22772	266217
197	22836	265506
198	22928	265117
199	22993	264420
200	23056	263719
201	23146	263315
202	23214	262673
203	23282	262039
204	23372	261653
205	23438	261006
206	23502	260339
207	23588	259922
208	23652	259276
209	23738	258860
210	23811	258315
211	23891	257846
212	23966	257335
213	24069	257112
214	24144	256601
215	24237	256291
216	24342	256103
217	24408	255501
218	24472	254892
219	24560	254541
220	24626	253956
221	24691	253360
222	24776	252991
223	24842	252421
224	24935	252125
225	25028	251839
226	25094	251278
227	25159	250711
228	25249	250399
229	25316	249862
230	25386	249359
231	25477	249067
232	25542	248522
233	25608	247988
234	25694	247652
235	25762	247141
236	25823	246578
237	25908	246238
238	25971	245696
239	26034	245157
240	26125	244883
241	26191	244378
242	26257	243884
243	26345	243590
244	26410	243080
245	26475	242585
246	26561	242275
247	26624	241770
248	26684	241236
249	26772	240953
250	26834	240442
251	26897	239943
252	26985	239672
253	27048	239172
254	27111	238683
255	27205	238475
256	27272	238022
257	27339	237576
258	27434	237378
259	27500	236927
260	27567	236485
261	27665	236315
262	27731	235875
263	27795	235420
264	27887	235203
265	27951	234753
266	28017	234319
267	28107	234090
268	28172	233655
269	28239	233236
270	28332	233039
271	28401	232637
272	28469	232240
273	28558	232011
274	28624	231596
275	28689	231180
276	28778	230955
277	28844	230546
278	28910	230145
279	29002	229952
280	29069	229556
281	29142	229210
282	29233	229013
283	29302	228641
284	29367	228241
285	29475	228179
286	29543	227802
287	29610	227424
288	29699	227214
289	29766	226842
290	29829	226435
291	29917	226224
292	29981	225835
293	30055	225521
294	30143	225312
295	30208	224930
296	30274	224558
297	30386	224536
298	30452	224163
299	30514	223774
300	30601	223562
301	30665	223191
302	30728	222807
303	30816	222607
304	30878	222227
305	30943	221863
306	31029	221655
307	31092	221282
308	31158	220932
309	31247	220750
310	31314	220407
311	31391	220144
312	31485	219992
313	31559	219710
314	31638	219460
315	32053	221532
316	32176	221583
317	32289	221558
318	32426	221702
319	32499	221401
320	32570	221090
321	32678	221034
322	32749	220731
323	32820	220421
324	32929	220375
325	33005	220106
326	33083	219850
327	33190	219784
328	33278	219599
329	33354	219332
330	33472	219340
331	33549	219084
332	33617	218763
333	33703	218568
334	33769	218242
335	33833	217903
336	33921	217724
337	33986	217392
338	34049	217052
339	34139	216883
340	34206	216571
341	34273	216265
342	34362	216096
343	34428	215779
344	34492	215456
345	34582	215291
346	34646	214966
347	34709	214642
348	34795	214455
349	34856	214118
350	34922	213813
351	35010	213645
352	35072	213316
353	35137	213011
354	35231	212880
355	35300	212593
356	35367	212304
357	35462	212181
358	35528	211883
359	35589	211562
360	35675	211382
361	35738	211076
362	35802	210771
363	35890	210611
364	35953	210301
365	36016	210000
366	36105	209845
367	36172	209566
368	36238	209277
369	36326	209125
370	36391	208832
371	36453	208529
372	36538	208358
373	36601	208062
374	36664	207765
375	36747	207585
376	36811	207295
377	36874	207003
378	36965	206871
379	37029	206584
380	37099	206334
381	37191	206206
382	37258	205943
383	37326	205682
384	37415	205542
385	37481	205272
386	37544	204989
387	37631	204841
388	37695	204564
389	37760	204292
390	37846	204140
391	37907	203849
392	37972	203583
393	38072	203504
