iter	MultiClass
0	1.364121472
1	1.344526708
2	1.322931779
3	1.30364245
4	1.284470189
5	1.26667317
6	1.247689953
7	1.235157131
8	1.221313685
9	1.206803629
10	1.186100188
11	1.170298012
12	1.153596519
13	1.138337401
14	1.125068964
15	1.108360812
16	1.0948962
17	1.081986972
18	1.069298945
19	1.050037561
20	1.035781919
21	1.021615515
22	1.010167627
23	0.9948368899
24	0.978690568
25	0.9665368019
26	0.9502252279
27	0.9409726142
28	0.9279020303
29	0.9164614116
30	0.8995554265
31	0.887562449
32	0.8780929035
33	0.8667599808
34	0.858512784
35	0.848900323
36	0.8398810024
37	0.8307314199
38	0.8214224306
39	0.8081794867
40	0.7976967529
41	0.7859732189
42	0.7776165275
43	0.7667975271
44	0.7577793945
45	0.7471172704
46	0.7396313314
47	0.7309032229
48	0.7205154847
49	0.710544806
50	0.7024994583
51	0.6943869118
52	0.6844525476
53	0.6787263197
54	0.666957573
55	0.6593980149
56	0.6531776096
57	0.6457264654
58	0.6382438423
59	0.6310843695
60	0.6245382551
61	0.6167579374
62	0.6111919401
63	0.6030664056
64	0.5972268904
65	0.5921950928
66	0.5867225764
67	0.5809060741
68	0.5746061494
69	0.5702639539
70	0.565633685
71	0.5600131714
72	0.553587117
73	0.5471470229
74	0.5411133204
75	0.5357181323
76	0.5299474152
77	0.524454575
78	0.5176178952
79	0.5118489267
80	0.5061088159
81	0.50200111
82	0.4968013006
83	0.4899021033
84	0.4852294325
85	0.4811498184
86	0.4752013047
87	0.4689473823
88	0.4637859772
89	0.4557862346
90	0.4498435961
91	0.4449790223
92	0.4405905687
93	0.4357025889
94	0.4313872371
95	0.4267960248
96	0.4202903161
97	0.4154329325
98	0.4113601413
99	0.404711314
100	0.4011335862
101	0.3961056405
102	0.3908690397
103	0.3870518077
104	0.3832456461
105	0.3794353183
106	0.3753678581
107	0.3720325573
108	0.3678638422
109	0.3633923417
110	0.3583607499
111	0.353775671
112	0.3499344945
113	0.3458638493
114	0.3408327376
115	0.3375593949
116	0.3328970107
117	0.3294565283
118	0.3243962149
119	0.3209573977
120	0.3178124222
121	0.3135125026
122	0.3096776677
123	0.3054691637
124	0.3024664311
125	0.2994516885
126	0.2966367184
127	0.2933298663
128	0.289226611
129	0.2866811747
130	0.2820462541
131	0.2793451219
132	0.2762413229
133	0.273976414
134	0.2704200571
135	0.2672821372
136	0.2636764938
137	0.2603871787
138	0.2581232059
139	0.2546972904
140	0.2522605681
141	0.2494075399
142	0.2465273393
143	0.243831595
144	0.2408255141
145	0.2381053715
146	0.2350831101
147	0.2324558003
148	0.2295801986
149	0.226609752
150	0.2243840354
151	0.2216338557
152	0.218943375
153	0.2160633716
154	0.2140055056
155	0.2115002536
156	0.2094024376
157	0.2070397329
158	0.2051653831
159	0.2037404802
160	0.2020069392
161	0.2000390472
162	0.1977489285
163	0.1960997035
164	0.1939982486
165	0.1920393572
166	0.189619607
167	0.1882423441
168	0.1862355401
169	0.18424352
170	0.1819508205
171	0.1802384144
172	0.1780490069
173	0.1763861416
174	0.1744038119
175	0.1727513814
176	0.1709626001
177	0.1693313621
178	0.1684147938
179	0.1667808819
180	0.1652949377
181	0.1635157768
182	0.1620912786
183	0.1606477926
184	0.1596159716
185	0.1586851957
186	0.1572367387
187	0.1554828696
188	0.1544081896
189	0.1530168769
190	0.1517884303
191	0.1502585324
192	0.1493210507
193	0.1481148875
194	0.1465293611
195	0.1453718609
196	0.1440215784
197	0.1430782744
198	0.1420231711
199	0.1411832445
200	0.1400167119
201	0.1391108746
202	0.1380251031
203	0.1369049904
204	0.1355223621
205	0.1344607909
206	0.1335506979
207	0.1321990709
208	0.131299719
209	0.1304837824
210	0.1292322594
211	0.1284054308
212	0.1277010018
213	0.126787422
214	0.1255811681
215	0.1245676955
216	0.1236691261
217	0.1226002997
218	0.1215114432
219	0.120461922
220	0.1195814799
221	0.1187424074
222	0.1178322465
223	0.1170484803
224	0.1162496056
225	0.1155828897
226	0.1148448458
227	0.1138969816
228	0.1130997662
229	0.1123110918
230	0.1115972968
231	0.1108370529
232	0.1102440333
233	0.1096164433
234	0.1088234191
235	0.1079296279
236	0.1071197843
237	0.1063131733
238	0.1054135538
239	0.1047890996
240	0.1040412716
241	0.1033293611
242	0.1026426347
243	0.102084595
244	0.1016232984
245	0.1008671727
246	0.1002949084
247	0.09982925755
248	0.09944732946
249	0.09865752156
250	0.09796225399
251	0.09739098652
252	0.09693460817
253	0.09625882325
254	0.09566191371
255	0.09508752397
256	0.09450021673
257	0.09401118814
258	0.09349606767
259	0.0930322256
260	0.0926214934
261	0.09219786365
262	0.0915251753
263	0.09099858306
264	0.090402775
265	0.08987289536
266	0.08934600016
267	0.08896104423
268	0.08836847986
269	0.08768757873
270	0.0873491509
271	0.08689764642
272	0.08655019107
273	0.0862160706
274	0.08569620552
275	0.08513840548
276	0.08481519898
277	0.08440396132
278	0.08388862815
279	0.08349766983
280	0.08297723447
281	0.08257019727
282	0.08207429784
283	0.08162596663
284	0.08110755876
285	0.08083789866
286	0.08050078233
287	0.08009066432
288	0.07968689826
289	0.0792712411
290	0.07900656569
291	0.07868203396
292	0.07839867254
293	0.07803859619
294	0.07761128759
295	0.07721591252
296	0.07682379754
297	0.07646274613
298	0.07609881088
299	0.07574418134
300	0.07537603843
301	0.07496547819
302	0.07464007969
303	0.07420322625
304	0.0737855743
305	0.0734233408
306	0.07311310902
307	0.0727275322
308	0.0723756584
309	0.07188952214
310	0.07155841525
311	0.07126115883
312	0.07087563059
313	0.07063510889
314	0.07036309975
315	0.06996872483
316	0.06962756623
317	0.06929578193
318	0.06901525532
319	0.06877375432
320	0.06844127339
321	0.06811784612
322	0.06782950899
323	0.06733095904
324	0.06704898737
325	0.06679059211
326	0.06641419915
327	0.06616592094
328	0.06585099021
329	0.0656093677
330	0.0652628998
331	0.06494159154
332	0.06475404824
333	0.06449475541
334	0.06422723572
335	0.06390229974
336	0.06368402336
337	0.0634221292
338	0.063202026
339	0.06295683716
340	0.06271742837
341	0.06251298984
342	0.06226969926
343	0.06194896247
344	0.06171171495
345	0.06138995119
346	0.0611383316
347	0.06090576297
348	0.06062532595
349	0.06041181646
350	0.06017997024
351	0.05983906667
352	0.05960917771
353	0.05933348326
354	0.05915739306
355	0.05883572211
356	0.05857781143
357	0.05837728502
358	0.05809848632
359	0.05785610404
360	0.05767631174
361	0.05749117499
362	0.05725845398
363	0.05697626662
364	0.05668468042
365	0.056453394
366	0.05622501128
367	0.05599693484
368	0.05577788599
369	0.05558284906
370	0.05539636317
371	0.05506796113
372	0.0547894207
373	0.05459062617
374	0.05440834525
375	0.05420279512
376	0.05399914146
377	0.05377645557
378	0.05356457818
379	0.05339608381
380	0.05321953445
381	0.05303127431
382	0.0528134333
383	0.05263985663
384	0.05240487775
385	0.05226866113
386	0.05215633392
387	0.05196772917
388	0.05183334355
389	0.05159383687
390	0.05143054717
391	0.05120186649
392	0.05098513928
393	0.05082882829
394	0.05064740868
395	0.0504151612
396	0.05024603293
397	0.05006322541
398	0.04990162405
399	0.04974925696
400	0.04957114524
401	0.0494494363
402	0.04926317779
403	0.04906451849
404	0.04887575425
405	0.04875631107
406	0.04857169527
407	0.04842115585
408	0.04825780686
409	0.04808860417
410	0.04790883875
411	0.04775965181
412	0.04766716778
413	0.04747276571
414	0.04731653017
415	0.04715408571
416	0.0469708862
417	0.04681184216
418	0.04661382829
419	0.04647662762
420	0.04629108408
421	0.04611840263
422	0.04597148938
423	0.04581547932
424	0.04569364176
425	0.04556761871
426	0.04544073386
427	0.04531851793
428	0.04516830131
429	0.04496294476
430	0.04479436658
431	0.04468923913
432	0.04455197649
433	0.04437657268
434	0.0441996383
435	0.04405985028
436	0.04392661972
437	0.04378961669
438	0.04366243862
439	0.04350386122
440	0.04336699922
441	0.04320027532
442	0.04310710417
443	0.04296598786
444	0.04280813408
445	0.04266758242
446	0.04256250855
447	0.04244151061
448	0.04233018567
449	0.04216885247
450	0.04205346134
451	0.04195272826
452	0.04181411479
453	0.04173289747
454	0.04160791608
455	0.04148864335
456	0.0413813768
457	0.04127134598
458	0.04115854721
459	0.04099298683
460	0.04087118129
461	0.04076847122
462	0.04066649093
463	0.04051901264
464	0.04039262175
465	0.04025029861
466	0.04012088599
467	0.03997710461
468	0.03984528948
469	0.03971339705
470	0.03960759445
