feature,dtype,nonnull_count,nonnull_ratio,nunique,drop_reason,kept
Neutrophil_CD23+_abs4,float64,5,0.1,5,sparse;,False
"Neu_CD11b+CD16Low, %.3",float64,5,0.1,5,sparse;,False
Neu_CD11b+CD16Low.3,float64,5,0.1,5,sparse;,False
"Neu_CD11b+CD16High, %.3",float64,5,0.1,5,sparse;,False
Neu_CD11b+CD16High.3,float64,5,0.1,5,sparse;,False
"Neu_CD57+, %.3",float64,6,0.12,6,sparse;,False
Neu_CD57+.3,float64,6,0.12,6,sparse;,False
"Neu_CD28+, %.3",float64,6,0.12,6,sparse;,False
Neu_CD28+.3,float64,6,0.12,6,sparse;,False
"Neu_HLA-DR+, %.3",float64,6,0.12,6,sparse;,False
"Neu_HLA-DR+, abs.2",float64,5,0.1,5,sparse;,False
Neu_HLA-DR+.3,float64,6,0.12,6,sparse;,False
"Лимф=CD64+,%.3",float64,1,0.02,1,sparse;const;,False
Лимф=CD64+.3,float64,1,0.02,1,sparse;const;,False
"Neu=CD64+,%.3",float64,1,0.02,1,sparse;const;,False
"Neu=CD64+,abs4",float64,0,0.0,0,sparse;const;,False
Neu=CD64+.3,float64,1,0.02,1,sparse;const;,False
"Neu=HLA-DR+CD64+,%.3",float64,1,0.02,1,sparse;const;,False
"Neu=CD64+CD16Low,%.3",float64,0,0.0,0,sparse;const;,False
"Neu=CD64+CD16High,%.3",float64,1,0.02,1,sparse;const;,False
"Mon=CD64+,%.3",float64,1,0.02,1,sparse;const;,False
Mon=CD64+.3,float64,1,0.02,1,sparse;const;,False
"Mon=HLA-DR+CD64+,%.3",float64,1,0.02,1,sparse;const;,False
"Mon=CD14Low+CD16+CD64+,%.3",float64,1,0.02,1,sparse;const;,False
Zr_neutr%.3,float64,0,0.0,0,sparse;const;,False
IG%.3,float64,0,0.0,0,sparse;const;,False
Eo%.3,float64,0,0.0,0,sparse;const;,False
Mo_CD14lowCD16+.3,float64,0,0.0,0,sparse;const;,False
Mo_CD14hiCD16+.3,float64,0,0.0,0,sparse;const;,False
Mo_CD14hiCD16-.3,float64,0,0.0,0,sparse;const;,False
fag_neutr%.3,float64,3,0.06,3,sparse;,False
fag_neutr.3,float64,3,0.06,3,sparse;,False
fag_mo%.3,float64,3,0.06,3,sparse;,False
fag_mo.3,float64,3,0.06,3,sparse;,False
fag_IG%.3,float64,0,0.0,0,sparse;const;,False
fag_IG.3,float64,0,0.0,0,sparse;const;,False
fag_Eo%.3,float64,0,0.0,0,sparse;const;,False
fag_Eo.3,float64,0,0.0,0,sparse;const;,False
fag_Mo_CD14lowCD16+%.3,float64,0,0.0,0,sparse;const;,False
fag_Mo_CD14lowCD16+.3,float64,0,0.0,0,sparse;const;,False
fag_Mo_CD14hiCD16+%.3,float64,0,0.0,0,sparse;const;,False
fag_Mo_CD14hiCD16+.3,float64,0,0.0,0,sparse;const;,False
fag_Mo_CD14hiCD16-%.3,float64,0,0.0,0,sparse;const;,False
fag_Mo_CD14hiCD16-.3,float64,0,0.0,0,sparse;const;,False
fag_neut_hi %.3,float64,3,0.06,3,sparse;,False
fag_neut_hi.3,float64,3,0.06,2,sparse;,False
fag_neut_low%.3,float64,3,0.06,3,sparse;,False
fag_neut_low.3,float64,3,0.06,3,sparse;,False
fag_mon_hi%.3,float64,3,0.06,3,sparse;,False
fag_mon_hi.3,float64,3,0.06,3,sparse;,False
fag_mon_low%.3,float64,3,0.06,3,sparse;,False
fag_mon_low.3,float64,3,0.06,3,sparse;,False
Tсп Люм.3,float64,6,0.12,6,sparse;,False
Iсп Люм.3,float64,6,0.12,6,sparse;,False
Sсп Люм.3,float64,6,0.12,6,sparse;,False
Tинд Люм.3,float64,6,0.12,6,sparse;,False
Iинд Люм.3,float64,6,0.12,6,sparse;,False
Sинд Люм.3,float64,6,0.12,6,sparse;,False
ИА Люм.3,float64,6,0.12,6,sparse;,False
Tсп Люц.3,float64,6,0.12,6,sparse;,False
Iсп Люц.3,float64,6,0.12,6,sparse;,False
Sсп Люц.3,float64,6,0.12,6,sparse;,False
Tинд Люц.3,float64,6,0.12,6,sparse;,False
Iинд Люц.3,float64,6,0.12,6,sparse;,False
Sинд Люц.3,float64,6,0.12,6,sparse;,False
ИА Люц.3,float64,6,0.12,6,sparse;,False
sex,float64,50,1.0,2,,True
Пол,float64,50,1.0,2,,True
