status,cohort,task,target_col,features,cat_features,n_rows,n_features,test_size,seed,mae,rmse,r2,accuracy,f1,f1_macro
ok,sepsis,regression,Шкала SOFA,"['Возраст', 'Шкала Глазго', 'HGB Гемоглобин', 'HCT Гематокрит', 'MCV Средний объем эритроцитов', 'MCH Среднее содержание гемоглобина в эритр.', 'MCHC Средняя концентрация гемоглобина в эритр.', 'RDW-CV Коэф.вариации отклонения размера эритр. от сред.зн.', 'PLT Тромбоциты', 'PDW Индекс распределения по объему тромбоцитов', 'MPV Средний объем тромбоцитов', 'P-LCR Крупные тромбоциты', 'PCT Тромбокрит', 'Нейтрофилы', 'Лимфоциты', 'Моноциты', 'Эозинофилы', 'Базофилы', 'АЛТ', 'АСТ', 'Мочевина', 'Креатинин', 'Глюкоза', 'Общий белок', 'С-реактивный белок (СРБ)', 'Калий', 'Натрий', 'Хлор', 'Скорость оседания эритроцитов', 'МНО', 'Фибриноген', 'АЧТВ', 'Амилаза', 'Билирубин общий', 'Пол.1', 'Возраст.1', 'Шкала Глазго.1', 'Шкала SOFA.1', 'WBC Лейкоциты', 'RBC Эритроциты', 'HGB Гемоглобин.1', 'HCT Гематокрит.1', 'MCV Средний объем эритроцитов.1', 'MCH Среднее содержание гемоглобина в эритр..1', 'MCHC Средняя концентрация гемоглобина в эритр..1', 'RDW-CV Коэф.вариации отклонения размера эритр. от сред.зн..1', 'PLT Тромбоциты.1', 'PDW Индекс распределения по объему тромбоцитов.1', 'MPV Средний объем тромбоцитов.1', 'P-LCR Крупные тромбоциты.1', 'PCT Тромбокрит.1', 'Нейтрофилы.1', 'Лимфоциты.1', 'Моноциты.1', 'Эозинофилы.1', 'Базофилы.1', 'АЛТ.1', 'АСТ.1', 'Мочевина.1', 'Креатинин.1', 'Глюкоза.1', 'Общий белок.1', 'С-реактивный белок (СРБ).1', 'Калий.1', 'Натрий.1', 'Хлор.1', 'Скорость оседания эритроцитов.1', 'МНО.1', 'Фибриноген.1', 'АЧТВ.1', 'Амилаза.1', 'Билирубин общий.1', 'age', 'sex', 'Пол']","['sex', 'Пол']",55,75,0.2,42,3.508088574347003,4.264468598904012,0.44988280396109015,,,
ok,peritonitis,regression,SOFA,"['Количество санаций на момент исследования', 'Сопутствующая патология', 'Продолжительность заболевания до госпитализации', 'Причина перитонита', 'Продолжительность пребывания в РО (сут.)', 'Продолжительность ИВЛ (Ч.)', 'Продолжительность пребывания в ХО (сут.)', 'Продолжительность лечения в ЦРБ', 'продолжительность пребывания в РО (сут.) ЦРБ', 'продолж-ть ИВЛ (Ч.) ЦРБ', 'продол-ть пребыв. в ХО (сут.) ЦРБ', 'Количество операций', 'SIRS', 'MIP', 'ИБП', 'Возбудитель', 'Степень тяжести', 'ИД течение', 'ИД этиология', 'Лейкоциты', 'СОЭ', 'пал/яд %', 'пал/яд', 'сегм/ яд %', 'сегм/ яд', 'Нейтрофилы, абс', 'баз. %', 'баз.', 'эоз. %', 'эоз.', 'мон. %', 'мон.', 'лимф. %', 'лимф.', 'IgA', 'IgG', 'IgM', 'IgE', 'Hu IL-6', 'Hu IL-8', 'Hu IL-10', 'Hu TNF-a', 'CD3+CD25+', 'CD3+CD4+CD127Low+CD25High+CD62l+', 'CD3+CD4+CD62l+', 'CD3+CD4+CD25+', 'CD3+', 'CD3+CD62l+', 'CD3+CD4+CD127Low+CD25High+', 'CD3+CD4+', 'CD3+CD4+abs', 'NeutCD62L+', 'MonoCD62L+', 'CD19+', 'CD19+CD27+CD23+', 'CD19+CD27-CD23+', 'CD19+CD5+CD23+', 'CD19+CD5-CD23+', 'CD19+CD27-', 'CD19+CD27+', 'CD27-/CD27+', 'CD19+CD5+', 'CD19+CD5-', 'CD5-/CD5+', 'CD19+CD23+', 'CD3+CD56+CD16-CD11b-', 'CD3+CD56+CD16-CD11b+', 'CD3+CD56-CD16+', 'CD3+CD56+CD16+', 'CD3+CD56+CD16+CD11b+', 'CD3+CD56-CD16+CD11b+', 'CD3+CD56+CD16-CD11b+.1', 'CD3+CD56+CD16-', 'CD16+CD56+CD11b+', 'CD16+CD56-CD11b+', 'CD16-CD56+CD11b+', 'CD16+CD56+', 'CD16+CD56-', 'CD16-CD56+', 'CD3+CD8+CD16+CD56+', 'CD3+CD8+CD16+CD56-', 'CD3+CD8+CD16-CD56+', 'CD3+CD8+CD11b+', 'CD3+CD8+', 'CD3+CD8+CD16+', 'CD16/56+CD28+', 'CD3+CD16/56+CD28+', 'CD16/56+CD57+', 'CD3+CD16/56+CD57+', 'CD3+CD28+', 'CD3+CD57+', 'CD16/56+', 'CD3+CD16/56+', 'MON=CD14+CD16+', 'MON=HLA-DR+', 'MON=CD14+CD16-', 'MON=14Low+CD16+', 'CD3+_CD62L', 'Treg_CD62L', 'CD4+CD62L', 'CD19+CD23', 'Наивные В-лимфоциты_CD23', 'В-памяти_CD23', 'B1-клетки_CD23', 'CD3+_CD57', 'NKT_CD57', 'NK_CD57', 'CD3+_CD28', 'NKT_CD28', 'NK_CD28', 'Neutrophil_CD62L+', 'Neutrophil_CD62L+_abs1', 'Neutrophil_CD23+', 'Neutrophil_CD23+_abs1', 'Neu_CD11b+CD16Low, %', 'Neu_CD11b+CD16Low', 'Neu_CD11b+CD16High, %', 'Neu_CD11b+CD16High', 'Neu_CD57+, %', 'Neu_CD57+', 'Neu_CD28+, %', 'Neu_CD28+', 'Neu_HLA-DR+, %', 'Neu_HLA-DR+, abs', 'Neu_HLA-DR+', 'fag_neutr%', 'fag_neutr', 'fag_mo%', 'fag_mo', 'fag_neut_hi %', 'fag_neut_hi', 'fag_neut_low%', 'fag_neut_low', 'fag_mon_hi%', 'fag_mon_hi', 'fag_mon_low%', 'fag_mon_low', 'Tсп Люм', 'Iсп Люм', 'Sсп Люм', 'Tинд Люм', 'Iинд Люм', 'Sинд Люм', 'ИА Люм', 'Tсп Люц', 'Iсп Люц', 'Sсп Люц', 'Tинд Люц', 'Iинд Люц', 'Sинд Люц', 'ИА Люц', 'Лейкоциты.1', 'СОЭ.1', 'юные %.1', 'пал/яд %.1', 'пал/яд.1', 'сегм/ яд %.1', 'сегм/ яд.1', 'Neutrophil_abs_2', 'баз. %.1', 'баз..1', 'эоз. %.1', 'эоз..1', 'мон. %.1', 'мон..1', 'лимф. %.1', 'лимф..1', 'IgA.1', 'IgG.1', 'IgM.1', 'Hu IL-6.1', 'Hu IL-8.1', 'Hu IL-10.1', 'Hu TNF-a.1', 'CD3+CD25+.1', 'CD3+CD4+CD127Low+CD25High+CD62l+.1', 'CD3+CD4+CD62l+.1', 'CD3+CD4+CD25+.1', 'CD3+.1', 'CD3+CD62l+.1', 'CD3+CD4+CD127Low+CD25High+.1', 'CD3+CD4+.1', 'NeutCD62L+.1', 'MonoCD62L+.1', 'CD19+.1', 'CD19+CD38+.1', 'CD19+CD27+CD23+.1', 'CD19+CD27-CD23+.1', 'CD19+CD5+CD23+.1', 'CD19+CD5-CD23+.1', 'CD19+CD27-.1', 'CD19+CD27+.1', 'CD27-/CD27+.1', 'CD19+CD27+CD38+.1', 'CD19+CD27-CD38+.1', 'CD19+CD5+.1', 'CD19+CD5-.1', 'CD5-/CD5+.1', 'CD19+CD5+CD38+.1', 'CD19+CD5-CD38+.1', 'CD19+CD23+.1', 'CD3+CD56+CD16-CD11b-.1', 'CD3+CD56+CD16-CD11b+.2', 'CD3+CD56-CD16+.1', 'CD3+CD56+CD16+.1', 'CD3+CD56+CD16+CD11b+.1', 'CD3+CD56-CD16+CD11b+.1', 'CD3+CD56+CD16-CD11b+.3', 'CD3+CD56+CD16-.1', 'CD16+CD56+CD11b+.1', 'CD16+CD56-CD11b+.1', 'CD16-CD56+CD11b+.1', 'CD16+CD56+.1', 'CD16+CD56-.1', 'CD16-CD56+.1', 'CD3+CD8+CD16+CD56+.1', 'CD3+CD8+CD16+CD56-.1', 'CD3+CD8+CD16-CD56+.1', 'CD3+CD8+CD11b+.1', 'CD3+CD8+.1', 'CD3+CD8+CD16+.1', 'CD16/56+CD28+.1', 'CD3+CD16/56+CD28+.1', 'CD16/56+CD57+.1', 'CD3+CD16/56+CD57+.1', 'CD3+CD28+.1', 'CD3+CD57+.1', 'CD16/56+.1', 'CD3+CD16/56+.1', 'MON=CD14+CD16+.1', 'MON=HLA-DR+.1', 'MON=CD14+CD16-.1', 'MON=14Low+CD16+.1', 'CD14-CD64+.1', 'CD3+_CD62L.1', 'Treg_CD62L.1', 'CD4+CD62L.1', 'CD19+CD23.1', 'Наивные В-лимфоциты_CD23.1', 'В-памяти_CD23.1', 'B1-клетки_CD23.1', 'CD3+_CD57.1', 'NKT_CD57.1', 'NK_CD57.1', 'CD3+_CD28.1', 'NKT_CD28.1', 'NK_CD28.1', 'Neutrophil_CD62L+.1', 'Neutrop62L+_abs', 'Neutrophil_CD23+.1', 'Neutrophil_CD23+_abs2', 'Neu_CD11b+CD16Low, %.1', 'Neu_CD11b+CD16Low.1', 'Neu_CD11b+CD16High, %.1', 'Neu_CD11b+CD16High.1', 'Neu_CD57+, %.1', 'Neu_CD57+.1', 'Neu_CD28+, %.1', 'Neu_CD28+.1', 'Neu_HLA-DR+, %.1', 'Neu_HLA-DR+, abs2', 'Neu_HLA-DR+.1', 'Лимф=CD64+,%.1', 'Лимф=CD64+.1', 'Neu=CD64+,%.1', 'Neu=CD64+.1', 'Neu=HLA-DR+CD64+,%.1', 'Neu=CD64+CD16High,%.1', 'Mon=CD64+,%.1', 'Mon=CD64+.1', 'Mon=CD14Low+CD16+CD64+,%.1', 'Tсп Люм.1', 'Iсп Люм.1', 'Sсп Люм.1', 'Tинд Люм.1', 'Iинд Люм.1', 'Sинд Люм.1', 'ИА Люм.1', 'Tсп Люц.1', 'Iсп Люц.1', 'Sсп Люц.1', 'Tинд Люц.1', 'Iинд Люц.1', 'Sинд Люц.1', 'ИА Люц.1', 'Лейкоциты.2', 'СОЭ.2', 'пал/яд %.2', 'пал/яд.2', 'сегм/ яд %.2', 'сегм/ яд.2', 'Neutrophil_abs', 'баз. %.2', 'баз..2', 'эоз. %.2', 'эоз..2', 'мон. %.2', 'мон..2', 'лимф. %.2', 'лимф..2', 'IgA.2', 'IgG.2', 'IgM.2', 'CD3+CD25+.2', 'CD3+CD4+CD127Low+CD25High+CD62l+.2', 'CD3+CD4+CD62l+.2', 'CD3+CD4+CD25+.2', 'CD3+.2', 'CD3+CD62l+.2', 'CD3+CD4+CD127Low+CD25High+.2', 'CD3+CD4+.2', 'NeutCD62L+.2', 'MonoCD62L+.2', 'CD19+.2', 'CD19+CD27+CD23+.2', 'CD19+CD27-CD23+.2', 'CD19+CD5+CD23+.2', 'CD19+CD5-CD23+.2', 'CD19+CD27-.2', 'CD19+CD27+.2', 'CD27-/CD27+.2', 'CD19+CD5+.2', 'CD19+CD5-.2', 'CD5-/CD5+.2', 'CD19+CD23+.2', 'CD3+CD56+CD16-CD11b-.2', 'CD3+CD56+CD16-CD11b+.4', 'CD3+CD56-CD16+.2', 'CD3+CD56+CD16+.2', 'CD3+CD56+CD16+CD11b+.2', 'CD3+CD56-CD16+CD11b+.2', 'CD3+CD56+CD16-CD11b+.5', 'CD3+CD56+CD16-.2', 'CD16+CD56+CD11b+.2', 'CD16+CD56-CD11b+.2', 'CD16-CD56+CD11b+.2', 'CD16+CD56+.2', 'CD16+CD56-.2', 'CD16-CD56+.2', 'CD3+CD8+CD16+CD56+.2', 'CD3+CD8+CD16+CD56-.2', 'CD3+CD8+CD16-CD56+.2', 'CD3+CD8+CD11b+.2', 'CD3+CD8+.2', 'CD3+CD8+CD16+.2', 'CD16/56+CD28+.2', 'CD3+CD16/56+CD28+.2', 'CD16/56+CD57+.2', 'CD3+CD16/56+CD57+.2', 'CD3+CD28+.2', 'CD3+CD57+.2', 'CD16/56+.2', 'CD3+CD16/56+.2', 'MON=CD14+CD16+.2', 'MON=HLA-DR+.2', 'MON=CD14+CD16-.2', 'MON=14Low+CD16+.2', 'CD3+_CD62L.2', 'Treg_CD62L.2', 'CD4+CD62L.2', 'CD3+_CD57.2', 'NKT_CD57.2', 'NK_CD57.2', 'CD3+_CD28.2', 'NKT_CD28.2', 'NK_CD28.2', 'Neutrophil_CD62L+.2', 'Neutrophil_CD62L+_abs3', 'Neu_CD11b+CD16Low, %.2', 'Neu_CD11b+CD16Low.2', 'Neu_CD11b+CD16High, %.2', 'Neu_CD11b+CD16High.2', 'Neu_CD57+, %.2', 'Neu_CD57+.2', 'Neu_CD28+, %.2', 'Neu_CD28+.2', 'Neu_HLA-DR+, %.2', 'Neu_HLA-DR+, abs.1', 'Neu_HLA-DR+.2', 'CD3+CD25+.3', 'CD3+CD4+CD127Low+CD25High+CD62l+.3', 'CD3+CD4+CD62l+.3', 'CD3+CD4+CD25+.3', 'CD3+.3', 'CD3+CD62l+.3', 'CD3+CD4+CD127Low+CD25High+.3', 'CD3+CD4+.3', 'NeutCD62L+.3', 'CD19+.3', 'CD19+CD27-.3', 'CD19+CD27+.3', 'CD27-/CD27+.3', 'CD19+CD5+.3', 'CD19+CD5-.3', 'CD5-/CD5+.3', 'CD3+CD56+CD16-CD11b-.3', 'CD3+CD56+CD16-CD11b+.6', 'CD3+CD56-CD16+.3', 'CD3+CD56+CD16+.3', 'CD3+CD56+CD16-.3', 'CD16+CD56+CD11b+.3', 'CD16+CD56-CD11b+.3', 'CD16-CD56+CD11b+.3', 'CD16+CD56+.3', 'CD16+CD56-.3', 'CD16-CD56+.3', 'CD3+CD8+.3', 'CD16/56+CD28+.3', 'CD3+CD16/56+CD28+.3', 'CD16/56+CD57+.3', 'CD3+CD16/56+CD57+.3', 'CD3+CD28+.3', 'CD3+CD57+.3', 'CD16/56+.3', 'CD3+CD16/56+.3', 'MON=CD14+CD16+.3', 'MON=HLA-DR+.3', 'MON=CD14+CD16-.3', 'MON=14Low+CD16+.3', 'sex', 'Пол']","['sex', 'Пол']",50,421,0.2,42,3.312753751889814,4.305959153237669,0.3695585097126398,,,
ok,ihd,classification,"2 точка (резистентность 0-нет, 1-да)","['возраст', 'Агр. Чувствит Арах. (0.5 мМ)', 'Агр. Чувствит Арах.+АСК', 'Агрегация коллаген (2 мкг/мл)', 'Агрегация АДФ (5 мкМ)', 'Агрегация адреналин (10мкМ)', 'Гемостаз АЧТВ', 'Гемостаз МНО', 'Гемостаз Фибриноген', 'ОАК лейкоциты', 'ОАК эритроциты', 'гемоглобин', 'гематокрит', 'MCV', 'MCH', 'MCHC', 'тромбоциты', 'нейтрофилы', 'лимфоциты', 'моноциты', 'эозинофилы', 'базофилы', 'СОЭ', 'БАК креатинин', 'БАК мочевина', 'АСТ', 'АЛТ', 'ХС общий', 'Общий белок', 'ЛПНП', 'ЛПВП', 'ТГ', 'глюкоза', 'калий', 'натрий', 'хлор', 'АКШ кол-во шунтов,общее', 'кол-во вен шунт (в)', 'кол-во артер шунт (а)', 'кол-во мамм (м)', 'Время ИК, мин', 'На работающем сердце', 'Время ОА', 'Периоперационный ИМ', 'ОНМК', 'Кровотечения', 'Рестернотомия', 'плеврит с плевр пункц', 'перикардит', 'ФВ до операции', 'ФВ после операции', 'Дней п/о периода', 'Курение', 'Индекс пачка/лет', 'Артериальная гипертония', 'СД', 'Наличие ожирения', 'I степень ожирения', 'II степень ожирения', 'III степень ожирения', 'Рост', 'Вес', 'ТИМ шеи', 'ЧСС уд./мин', 'Электрическая ось сердца отклонена', 'P= мс', 'Интервал PQ мс.', 'QRS мс.', 'Интервал QT мс.', 'Возраст старше 75 лет', 'Мультифокальный атеросклероз', 'Значимые стеноз БЦА', 'Значимые стенозы магистральных артерий НК', 'ОНМК в анамнезе', 'ПИКС', 'Наличие стенокардии', 'II фк', 'III фк', 'IV фк', 'Наличие СН', 'II фк.1', 'III фк.1', 'Стадия СН: I-0, IIA-1', 'Количество пораженных КА', 'Ант Ca', 'иАПФ', 'сартаны', 'ИПП', 'Кетонал', 'Кетопрофен', 'Диклофенак', 'Нимесулид', 'Трамадол', 'анальгин', 'инсулин', 'сахаросниж', 'кордарон', 'дней отмены аспирина', 'аспирин', 'клопидогрел', 'ДДАТ (АСК+клопидогрел)', 'НОАК', 'варфарин', 'Neut+tromb %_1', 'Neut+tromb_1', 'Mon+Tromb%_1', 'Mon+Tromb_1', 'Tromb+Tromb%_1', 'Tromb+Tromb_1', 'Tromb CD62P+%_1', 'Tromb CD62P+_1', 'Neut+Tromb CD62P%_1', 'Neut+Tromb CD62P_1', 'Mon+Tromb CD62P+ %_1', 'Mon+Tromb CD62P+_1', 'Tromb+Tromb CD62P+ %_1', 'Tromb+Tromb CD62P+_1', 'CD14+CD16- %_1', 'CD14+CD16+ %_1', 'CD14lowCD16+ %_1', 'CD14+CD16-+Tromb %_1', 'CD14+CD16-+Tromb_1', 'CD14+CD16+ + Tromb %_1', 'CD14+CD16+ + Tromb_1', 'CD14lowCD16+ +Tromb %_1', 'CD14lowCD16+ +Tromb_1', 'СРБ1, мг/л', 'СРБ2', 'СРБ3', 'Экспрессия SELP 1 точка', 'Экспресия SELP 3 точка', 'Агр. Чувствит Арах. (0.5 мМ).1', 'Агр. Чувствит Арах.+АСК.1', 'ОАК лейкоциты.1', 'ОАК эритроциты.1', 'гемоглобин.1', 'гематокрит.1', 'MCV.1', 'MCH.1', 'MCHC.1', 'тромбоциты.1', 'нейтрофилы.1', 'лимфоциты.1', 'моноциты.1', 'эозинофилы.1', 'базофилы.1', 'БАК креатинин.1', 'БАК мочевина.1', 'АСТ.1', 'АЛТ.1', 'Общий белок.1', '3 точка (резистентность 0-нет, 1-да )', 'Агр. Чувствит Арах. (0.5 мМ).2', 'Агр. Чувствит Арах.+АСК.2', 'ОАК лейкоциты.2', 'ОАК эритроциты.2', 'гемоглобин.2', 'гематокрит.2', 'MCV.2', 'MCH.2', 'MCHC.2', 'тромбоциты.2', 'нейтрофилы.2', 'лимфоциты.2', 'моноциты.2', 'эозинофилы.2', 'базофилы.2', 'СОЭ.1', 'креатинин', 'мочевина', 'АСТ.2', 'АЛТ.2', 'Общий белок.2', 'калий.1', 'натрий.1', 'хлор.1', 'Neut+tromb %_3', 'Neut+tromb_3', 'Mon+Tromb %_3', 'Mon+Tromb_3', 'Tromb+Tromb %_3', 'Tromb+Tromb_3', 'Tromb CD62P+ %_3', 'Tromb CD62P+_3', 'Neut+Tromb CD62P %_3', 'Neut+Tromb CD62P_3', 'Mon+Tromb CD62P+ %_3', 'Mon+Tromb CD62P+_3', 'Tromb+Tromb CD62P+ %_3', 'Tromb+Tromb CD62P+_3', 'CD14+CD16- %_3', 'CD14+CD16+ %_3', 'CD14lowCD16+ %_3', 'CD14+CD16-+Tromb %_3', 'CD14+CD16-+Tromb_3', 'CD14+CD16+ + Tromb %_3', 'CD14+CD16+ + Tromb_3', 'CD14lowCD16+ +Tromb %_3', 'CD14lowCD16+ +Tromb_3', 'age', 'sex']",['sex'],101,201,0.2,42,,,,0.9047619047619048,0.5,
