iter	Passed	Remaining
146	11475	378849
147	11543	378426
148	11611	378031
149	11709	378594
150	11778	378233
151	11846	377849
152	11916	377509
153	11987	377226
154	12057	376899
155	12157	377497
156	12223	377046
157	12266	375919
158	12336	375590
159	12400	375114
160	12466	374678
161	12533	374288
162	12629	374772
163	12691	374233
164	12754	373752
165	12817	373250
166	12886	372935
167	12952	372546
168	13052	373113
169	13121	372799
170	13189	372457
171	13262	372287
172	13332	371998
173	13402	371716
174	13496	372122
175	13562	371744
176	13632	371475
177	13699	371111
178	13765	370754
179	13834	370451
180	13925	370764
181	13968	369780
182	14030	369327
183	14094	368900
184	14163	368630
185	14230	368300
186	14300	368077
187	14370	367821
188	14444	367680
189	14513	367414
190	14585	367239
191	14655	367003
192	14728	366836
193	14792	366448
194	14890	366923
195	14962	366725
196	15032	366513
197	15108	366422
198	15179	366203
199	15244	365878
200	15349	366477
201	15417	366205
202	15483	365888
203	15551	365607
204	15619	365344
205	15688	365089
206	15790	365621
207	15837	364868
208	15909	364699
209	15981	364533
210	16052	364336
211	16131	364326
212	16225	364645
213	16325	365114
214	16373	364408
215	16513	365748
216	16588	365626
217	16660	365450
218	16731	365264
219	16800	365028
220	16990	367416
221	17164	369420
222	17260	369740
223	17352	369977
224	17448	370293
225	17557	370874
226	17691	371995
227	17783	372212
228	17861	372120
229	17932	371894
230	18005	371726
231	18090	371786
232	18202	372408
233	18279	372301
234	18352	372125
235	18402	371472
236	18477	371350
237	18559	371347
238	18620	370936
239	18746	371800
240	18825	371747
241	18889	371382
242	18952	371009
243	19023	370797
244	19089	370499
245	19194	370938
246	19274	370901
247	19346	370704
248	19422	370584
249	19502	370550
250	19578	370433
251	19688	370956
252	19764	370839
253	19836	370646
254	19921	370691
255	19988	370403
256	20087	370721
257	20218	371608
258	20284	371302
259	20352	371033
260	20416	370697
261	20481	370383
262	20543	370021
263	20635	370190
264	20704	369942
265	20770	369655
266	20839	369414
267	20908	369169
268	20976	368922
269	21077	369241
270	21147	369035
271	21219	368840
272	21283	368523
273	21348	368216
274	21420	368036
275	21512	368205
276	21580	367959
277	21645	367655
278	21708	367340
279	21772	367020
280	21835	366701
281	21928	366876
282	21995	366618
283	22066	366429
284	22133	366177
285	22201	365937
286	22271	365733
287	22376	366109
288	22448	365934
289	22518	365730
290	22582	365438
291	22646	365130
292	22718	364961
293	22816	365217
294	22884	364982
295	22950	364732
296	23033	364742
297	23106	364582
298	23179	364433
299	23317	365306
300	23421	365640
301	23519	365874
302	23622	366187
303	23705	366188
304	23808	366491
305	23928	367063
306	24020	367188
307	24091	367010
308	24158	366754
309	24229	366574
310	24299	366366
311	24406	366730
312	24481	366589
313	24546	366325
314	24616	366117
315	24683	365871
316	24752	365662
317	24852	365905
318	24921	365698
319	24990	365486
320	25060	365288
321	25126	365038
322	25188	364722
323	25294	365055
324	25358	364774
325	25420	364470
326	25489	364262
327	25555	364009
328	25618	363725
329	25711	363858
330	25774	363562
331	25841	363331
332	25908	363111
333	25976	362892
334	26043	362662
335	26143	362903
336	26212	362702
337	26283	362528
338	26354	362353
339	26433	362294
340	26513	362252
341	26644	362894
342	26727	362886
343	26821	363027
344	26905	363032
345	26973	362817
346	27040	362588
347	27153	362988
348	27226	362833
349	27294	362623
350	27363	362427
351	27417	362031
352	27504	362079
353	27580	361971
354	27689	362303
355	27767	362228
356	27844	362140
357	27911	361919
358	27975	361651
359	28041	361419
360	28135	361549
361	28298	362569
362	28377	362498
363	28452	362374
364	28525	362239
365	28617	362329
366	28731	362707
367	28807	362599
368	28896	362653
369	28977	362605
370	29063	362628
371	29178	363005
372	29303	363503
373	29394	363582
374	29470	363474
375	29544	363331
376	29626	363295
377	29721	363420
378	29829	363700
379	29912	363671
380	30000	363705
381	30074	363569
382	30144	363384
383	30233	363427
384	30340	363686
385	30409	363500
386	30485	363382
387	30563	363290
388	30630	363079
389	30697	362860
390	30801	363082
391	30867	362850
392	30930	362588
393	30995	362343
394	31065	362173
395	31140	362052
396	31259	362441
397	31341	362394
398	31545	363761
399	31660	364096
400	31742	364053
401	31836	364140
402	31967	364647
403	32050	364611
404	32143	364686
405	32234	364736
406	32383	365445
407	32499	365782
408	32649	366490
409	32746	366596
410	32836	366630
411	32928	366689
412	33025	366802
413	33120	366886
414	33235	367188
415	33320	367162
416	33415	367250
417	33490	367115
418	33572	367056
419	33652	366975
420	33778	367386
421	33833	367038
422	33912	366941
423	34002	366969
424	34086	366927
425	34174	366933
426	34255	366859
427	34371	367167
428	34437	366933
429	34479	366444
430	34546	366225
431	34611	365981
432	34675	365732
433	34737	365463
434	34806	365263
435	34874	365066
436	34957	365018
437	35037	364934
438	35112	364797
439	35186	364664
440	35329	365236
441	35474	365825
442	35552	365715
443	35627	365586
444	35705	365479
445	35769	365236
446	35839	365053
447	35945	365229
448	36011	365006
449	36053	364544
450	36117	364298
451	36180	364045
452	36248	363847
453	36316	363642
454	36415	363750
455	36484	363561
456	36551	363355
457	36623	363199
458	36697	363058
459	36770	362907
460	36863	362952
461	36933	362778
462	37002	362589
463	37067	362365
464	37135	362169
465	37200	361943
466	37299	362050
467	37361	361800
468	37424	361555
469	37489	361330
470	37556	361134
